asset,market,year,month,block,hours_block,rated_mw,forward_hub
Howling Gale,CAISO,2030,3,OffPeak,408,100.0,
Howling Gale,CAISO,2030,4,Peak,352,100.0,
Howling Gale,CAISO,2030,4,OffPeak,368,100.0,
Howling Gale,CAISO,2030,5,Peak,368,100.0,
Howling Gale,CAISO,2030,5,OffPeak,376,100.0,
Howling Gale,CAISO,2030,6,Peak,320,100.0,
Howling Gale,CAISO,2030,6,OffPeak,400,100.0,
Howling Gale,CAISO,2030,7,Peak,368,100.0,
Howling Gale,CAISO,2030,7,OffPeak,376,100.0,
Howling Gale,CAISO,2030,8,Peak,352,100.0,
Howling Gale,CAISO,2030,8,OffPeak,392,100.0,
Howling Gale,CAISO,2030,9,Peak,336,100.0,
Howling Gale,CAISO,2030,9,OffPeak,384,100.0,
Howling Gale,CAISO,2030,10,Peak,368,100.0,
Howling Gale,CAISO,2030,10,OffPeak,376,100.0,
Howling Gale,CAISO,2030,11,Peak,336,100.0,
Howling Gale,CAISO,2030,11,OffPeak,384,100.0,
Howling Gale,CAISO,2030,12,Peak,352,100.0,
Howling Gale,CAISO,2030,12,OffPeak,392,100.0,
Mantero,MISO,2026,1,Peak,352,71.4,58.04
Mantero,MISO,2026,1,OffPeak,392,71.4,50.6
Mantero,MISO,2026,2,Peak,320,71.4,
Mantero,MISO,2026,2,OffPeak,352,71.4,
Mantero,MISO,2026,3,Peak,352,71.4,
Mantero,MISO,2026,3,OffPeak,392,71.4,
Mantero,MISO,2026,4,Peak,352,71.4,
Mantero,MISO,2026,4,OffPeak,368,71.4,
Mantero,MISO,2026,5,Peak,336,71.4,
Mantero,MISO,2026,5,OffPeak,408,71.4,
Mantero,MISO,2026,6,Peak,352,71.4,
Mantero,MISO,2026,6,OffPeak,368,71.4,
Mantero,MISO,2026,7,Peak,368,71.4,
Mantero,MISO,2026,7,OffPeak,376,71.4,
Mantero,MISO,2026,8,Peak,336,71.4,
Mantero,MISO,2026,8,OffPeak,408,71.4,
Mantero,MISO,2026,9,Peak,352,71.4,
Mantero,MISO,2026,9,OffPeak,368,71.4,
Mantero,MISO,2026,10,Peak,352,71.4,
Mantero,MISO,2026,10,OffPeak,392,71.4,
Mantero,MISO,2026,11,Peak,336,71.4,
Mantero,MISO,2026,11,OffPeak,384,71.4,
Mantero,MISO,2026,12,Peak,368,71.4,
Mantero,MISO,2026,12,OffPeak,376,71.4,
Mantero,MISO,2027,1,Peak,336,71.4,58.04
Mantero,MISO,2027,1,OffPeak,408,71.4,50.6
Mantero,MISO,2027,2,Peak,320,71.4,
Mantero,MISO,2027,2,OffPeak,352,71.4,
Mantero,MISO,2027,3,Peak,368,71.4,
Mantero,MISO,2027,3,OffPeak,376,71.4,
Mantero,MISO,2027,4,Peak,352,71.4,
Mantero,MISO,2027,4,OffPeak,368,71.4,
Mantero,MISO,2027,5,Peak,336,71.4,
Mantero,MISO,2027,5,OffPeak,408,71.4,
Mantero,MISO,2027,6,Peak,352,71.4,
Mantero,MISO,2027,6,OffPeak,368,71.4,
Mantero,MISO,2027,7,Peak,352,71.4,
Mantero,MISO,2027,7,OffPeak,392,71.4,
Mantero,MISO,2027,8,Peak,352,71.4,
Mantero,MISO,2027,8,OffPeak,392,71.4,
Mantero,MISO,2027,9,Peak,352,71.4,
Mantero,MISO,2027,9,OffPeak,368,71.4,
Mantero,MISO,2027,10,Peak,336,71.4,
Mantero,MISO,2027,10,OffPeak,408,71.4,
Mantero,MISO,2027,11,Peak,352,71.4,
Mantero,MISO,2027,11,OffPeak,368,71.4,
Mantero,MISO,2027,12,Peak,368,71.4,
Mantero,MISO,2027,12,OffPeak,376,71.4,
Mantero,MISO,2028,1,Peak,336,71.4,58.04
Mantero,MISO,2028,1,OffPeak,408,71.4,50.6
Mantero,MISO,2028,2,Peak,336,71.4,
Mantero,MISO,2028,2,OffPeak,360,71.4,
Mantero,MISO,2028,3,Peak,368,71.4,
Mantero,MISO,2028,3,OffPeak,376,71.4,
Mantero,MISO,2028,4,Peak,320,71.4,
Mantero,MISO,2028,4,OffPeak,400,71.4,
Mantero,MISO,2028,5,Peak,368,71.4,
Mantero,MISO,2028,5,OffPeak,376,71.4,
Mantero,MISO,2028,6,Peak,352,71.4,
Mantero,MISO,2028,6,OffPeak,368,71.4,
Mantero,MISO,2028,7,Peak,336,71.4,
Mantero,MISO,2028,7,OffPeak,408,71.4,
Mantero,MISO,2028,8,Peak,368,71.4,
Mantero,MISO,2028,8,OffPeak,376,71.4,
Mantero,MISO,2028,9,Peak,336,71.4,
Mantero,MISO,2028,9,OffPeak,384,71.4,
Mantero,MISO,2028,10,Peak,352,71.4,
Mantero,MISO,2028,10,OffPeak,392,71.4,
Mantero,MISO,2028,11,Peak,352,71.4,
Mantero,MISO,2028,11,OffPeak,368,71.4,
Mantero,MISO,2028,12,Peak,336,71.4,
Mantero,MISO,2028,12,OffPeak,408,71.4,
Mantero,MISO,2029,1,Peak,368,71.4,58.04
Mantero,MISO,2029,1,OffPeak,376,71.4,50.6
Mantero,MISO,2029,2,Peak,320,71.4,
Mantero,MISO,2029,2,OffPeak,352,71.4,
Mantero,MISO,2029,3,Peak,352,71.4,
Mantero,MISO,2029,3,OffPeak,392,71.4,
Mantero,MISO,2029,4,Peak,336,71.4,
Mantero,MISO,2029,4,OffPeak,384,71.4,
Mantero,MISO,2029,5,Peak,368,71.4,
Mantero,MISO,2029,5,OffPeak,376,71.4,
Mantero,MISO,2029,6,Peak,336,71.4,
Mantero,MISO,2029,6,OffPeak,384,71.4,
Mantero,MISO,2029,7,Peak,352,71.4,
Mantero,MISO,2029,7,OffPeak,392,71.4,
Mantero,MISO,2029,8,Peak,368,71.4,
Mantero,MISO,2029,8,OffPeak,376,71.4,
Mantero,MISO,2029,9,Peak,320,71.4,
Mantero,MISO,2029,9,OffPeak,400,71.4,
Mantero,MISO,2029,10,Peak,368,71.4,
Mantero,MISO,2029,10,OffPeak,376,71.4,
Mantero,MISO,2029,11,Peak,352,71.4,
Mantero,MISO,2029,11,OffPeak,368,71.4,
Mantero,MISO,2029,12,Peak,336,71.4,
Mantero,MISO,2029,12,OffPeak,408,71.4,
Mantero,MISO,2030,1,Peak,368,71.4,58.04
Mantero,MISO,2030,1,OffPeak,376,71.4,50.6
Mantero,MISO,2030,2,Peak,320,71.4,
Mantero,MISO,2030,2,OffPeak,352,71.4,
Mantero,MISO,2030,3,Peak,336,71.4,
Mantero,MISO,2030,3,OffPeak,408,71.4,
Mantero,MISO,2030,4,Peak,352,71.4,
Mantero,MISO,2030,4,OffPeak,368,71.4,
Mantero,MISO,2030,5,Peak,368,71.4,
Mantero,MISO,2030,5,OffPeak,376,71.4,
Mantero,MISO,2030,6,Peak,320,71.4,
Mantero,MISO,2030,6,OffPeak,400,71.4,
Mantero,MISO,2030,7,Peak,368,71.4,
Mantero,MISO,2030,7,OffPeak,376,71.4,
Mantero,MISO,2030,8,Peak,352,71.4,
Mantero,MISO,2030,8,OffPeak,392,71.4,
Mantero,MISO,2030,9,Peak,336,71.4,
Mantero,MISO,2030,9,OffPeak,384,71.4,
Mantero,MISO,2030,10,Peak,368,71.4,
Mantero,MISO,2030,10,OffPeak,376,71.4,
Mantero,MISO,2030,11,Peak,336,71.4,
Mantero,MISO,2030,11,OffPeak,384,71.4,
Mantero,MISO,2030,12,Peak,352,71.4,
Mantero,MISO,2030,12,OffPeak,392,71.4,
Valentino,ERCOT,2026,1,Peak,352,58.4,68.72
Valentino,ERCOT,2026,1,OffPeak,392,58.4,61.71
Valentino,ERCOT,2026,2,Peak,320,58.4,
Valentino,ERCOT,2026,2,OffPeak,352,58.4,
Valentino,ERCOT,2026,3,Peak,352,58.4,
Valentino,ERCOT,2026,3,OffPeak,392,58.4,
Valentino,ERCOT,2026,4,Peak,352,58.4,
Valentino,ERCOT,2026,4,OffPeak,368,58.4,
Valentino,ERCOT,2026,5,Peak,336,58.4,
Valentino,ERCOT,2026,5,OffPeak,408,58.4,
Valentino,ERCOT,2026,6,Peak,352,58.4,
Valentino,ERCOT,2026,6,OffPeak,368,58.4,
Valentino,ERCOT,2026,7,Peak,368,58.4,
Valentino,ERCOT,2026,7,OffPeak,376,58.4,
Valentino,ERCOT,2026,8,Peak,336,58.4,
Valentino,ERCOT,2026,8,OffPeak,408,58.4,
Valentino,ERCOT,2026,9,Peak,352,58.4,
Valentino,ERCOT,2026,9,OffPeak,368,58.4,
Valentino,ERCOT,2026,10,Peak,352,58.4,
Valentino,ERCOT,2026,10,OffPeak,392,58.4,
Valentino,ERCOT,2026,11,Peak,336,58.4,
Valentino,ERCOT,2026,11,OffPeak,384,58.4,
Valentino,ERCOT,2026,12,Peak,368,58.4,
Valentino,ERCOT,2026,12,OffPeak,376,58.4,
Valentino,ERCOT,2027,1,Peak,336,58.4,68.72
Valentino,ERCOT,2027,1,OffPeak,408,58.4,61.71
Valentino,ERCOT,2027,2,Peak,320,58.4,
Valentino,ERCOT,2027,2,OffPeak,352,58.4,
Valentino,ERCOT,2027,3,Peak,368,58.4,
Valentino,ERCOT,2027,3,OffPeak,376,58.4,
Valentino,ERCOT,2027,4,Peak,352,58.4,
Valentino,ERCOT,2027,4,OffPeak,368,58.4,
Valentino,ERCOT,2027,5,Peak,336,58.4,
Valentino,ERCOT,2027,5,OffPeak,408,58.4,
Valentino,ERCOT,2027,6,Peak,352,58.4,
Valentino,ERCOT,2027,6,OffPeak,368,58.4,
Valentino,ERCOT,2027,7,Peak,352,58.4,
Valentino,ERCOT,2027,7,OffPeak,392,58.4,
Valentino,ERCOT,2027,8,Peak,352,58.4,
Valentino,ERCOT,2027,8,OffPeak,392,58.4,
Valentino,ERCOT,2027,9,Peak,352,58.4,
Valentino,ERCOT,2027,9,OffPeak,368,58.4,
Valentino,ERCOT,2027,10,Peak,336,58.4,
Valentino,ERCOT,2027,10,OffPeak,408,58.4,
Valentino,ERCOT,2027,11,Peak,352,58.4,
Valentino,ERCOT,2027,11,OffPeak,368,58.4,
Valentino,ERCOT,2027,12,Peak,368,58.4,
Valentino,ERCOT,2027,12,OffPeak,376,58.4,
Valentino,ERCOT,2028,1,Peak,336,58.4,68.72
Valentino,ERCOT,2028,1,OffPeak,408,58.4,61.71
Valentino,ERCOT,2028,2,Peak,336,58.4,
Valentino,ERCOT,2028,2,OffPeak,360,58.4,
Valentino,ERCOT,2028,3,Peak,368,58.4,
Valentino,ERCOT,2028,3,OffPeak,376,58.4,
Valentino,ERCOT,2028,4,Peak,320,58.4,
Valentino,ERCOT,2028,4,OffPeak,400,58.4,
Valentino,ERCOT,2028,5,Peak,368,58.4,
Valentino,ERCOT,2028,5,OffPeak,376,58.4,
Valentino,ERCOT,2028,6,Peak,352,58.4,
Valentino,ERCOT,2028,6,OffPeak,368,58.4,
Valentino,ERCOT,2028,7,Peak,336,58.4,
Valentino,ERCOT,2028,7,OffPeak,408,58.4,
Valentino,ERCOT,2028,8,Peak,368,58.4,
Valentino,ERCOT,2028,8,OffPeak,376,58.4,
Valentino,ERCOT,2028,9,Peak,336,58.4,
Valentino,ERCOT,2028,9,OffPeak,384,58.4,
Valentino,ERCOT,2028,10,Peak,352,58.4,
Valentino,ERCOT,2028,10,OffPeak,392,58.4,
Valentino,ERCOT,2028,11,Peak,352,58.4,
Valentino,ERCOT,2028,11,OffPeak,368,58.4,
Valentino,ERCOT,2028,12,Peak,336,58.4,
Valentino,ERCOT,2028,12,OffPeak,408,58.4,
Valentino,ERCOT,2029,1,Peak,368,58.4,68.72
Valentino,ERCOT,2029,1,OffPeak,376,58.4,61.71
Valentino,ERCOT,2029,2,Peak,320,58.4,
Valentino,ERCOT,2029,2,OffPeak,352,58.4,
Valentino,ERCOT,2029,3,Peak,352,58.4,
Valentino,ERCOT,2029,3,OffPeak,392,58.4,
Valentino,ERCOT,2029,4,Peak,336,58.4,
Valentino,ERCOT,2029,4,OffPeak,384,58.4,
Valentino,ERCOT,2029,5,Peak,368,58.4,
Valentino,ERCOT,2029,5,OffPeak,376,58.4,
Valentino,ERCOT,2029,6,Peak,336,58.4,
Valentino,ERCOT,2029,6,OffPeak,384,58.4,
Valentino,ERCOT,2029,7,Peak,352,58.4,
Valentino,ERCOT,2029,7,OffPeak,392,58.4,
Valentino,ERCOT,2029,8,Peak,368,58.4,
Valentino,ERCOT,2029,8,OffPeak,376,58.4,
Valentino,ERCOT,2029,9,Peak,320,58.4,
Valentino,ERCOT,2029,9,OffPeak,400,58.4,
Valentino,ERCOT,2029,10,Peak,368,58.4,
Valentino,ERCOT,2029,10,OffPeak,376,58.4,
Valentino,ERCOT,2029,11,Peak,352,58.4,
Valentino,ERCOT,2029,11,OffPeak,368,58.4,
Valentino,ERCOT,2029,12,Peak,336,58.4,
Valentino,ERCOT,2029,12,OffPeak,408,58.4,
Valentino,ERCOT,2030,1,Peak,368,58.4,68.72
Valentino,ERCOT,2030,1,OffPeak,376,58.4,61.71
Valentino,ERCOT,2030,2,Peak,320,58.4,
Valentino,ERCOT,2030,2,OffPeak,352,58.4,
Valentino,ERCOT,2030,3,Peak,336,58.4,
Valentino,ERCOT,2030,3,OffPeak,408,58.4,
Valentino,ERCOT,2030,4,Peak,352,58.4,
Valentino,ERCOT,2030,4,OffPeak,368,58.4,
Valentino,ERCOT,2030,5,Peak,368,58.4,
Valentino,ERCOT,2030,5,OffPeak,376,58.4,
Valentino,ERCOT,2030,6,Peak,320,58.4,
Valentino,ERCOT,2030,6,OffPeak,400,58.4,
Valentino,ERCOT,2030,7,Peak,368,58.4,
Valentino,ERCOT,2030,7,OffPeak,376,58.4,
Valentino,ERCOT,2030,8,Peak,352,58.4,
Valentino,ERCOT,2030,8,OffPeak,392,58.4,
Valentino,ERCOT,2030,9,Peak,336,58.4,
Valentino,ERCOT,2030,9,OffPeak,384,58.4,
Valentino,ERCOT,2030,10,Peak,368,58.4,
Valentino,ERCOT,2030,10,OffPeak,376,58.4,
Valentino,ERCOT,2030,11,Peak,336,58.4,
Valentino,ERCOT,2030,11,OffPeak,384,58.4,
Valentino,ERCOT,2030,12,Peak,352,58.4,
Valentino,ERCOT,2030,12,OffPeak,392,58.4,
